listing_url,scrape_date,price,location,Emlak Tipi,m² (Brüt),m² (Net),Oda Sayısı,Bulunduğu Kat,Isıtma,1.Oda,1.Salon,2.Oda,3.Oda,Ada No,Aidat (TL),Balkon,Banyo Sayısı,Bina Yaşı,Depozito,Eşyalı,Görüntülü Arama İle Gezilebilir,Kat Sayısı,Krediye Uygun,Kullanım Durumu,Latitude,Longitude,Parsel No,Site İçerisinde,Tapu Durumu,Ticari Kullanıma Uygun,Tuvalet Sayısı,Yapının Durumu,m2 (Brüt),m2 (Net)
https://www.remax.com.tr/portfoy/P65337173,2025-05-08,24.000,Bursa / Osmangazi/ Dikkaldırım Mah.,Daire,170,142,3+1,3,Doğalgaz (Kombi),,,,,4581,200,Var,1,30+,24.000,Hayır,Hayır,5,,Boş,40.2062173,29.01366269999999,1,Evet,Kat İrtifaklı Tapu,Hayır,2,2.EL,,
https://www.remax.com.tr/portfoy/P26214535,2025-05-08,21.500,Bursa / Nilüfer/ Ataevler Mah.,Daire,160,135,3+1,1,Doğalgaz (Kombi),,,,,1437,900,Var,1,21-25,21.500,Hayır,Hayır,5,,Boş,40.2266465,28.9654183,2,Evet,Kat Mülkiyetli Tapu,Hayır,1,2.EL,,
https://www.remax.com.tr/portfoy/P36051138,2025-05-08,32.500,Bursa / Nilüfer/ Ataevler Mah.,Daire,185,150,3+1,1,Doğalgaz (Kombi),,,,,1404,1.250,Var,2,16-20,32.500,Hayır,Hayır,5,,Boş,40.2178413,28.9565904,5,Evet,Kat Mülkiyetli Tapu,Hayır,3,2.EL,,
https://www.remax.com.tr/portfoy/P26145720,2025-05-08,12.750,Bursa / Osmangazi/ Şehabettinpaşa Mah.,Daire,80,70,2+1,4,Doğalgaz (Kombi),,,,,5904,,Yok,1,26-30,14.500,Hayır,Evet,5,,Boş,40.189529718083,29.057315720171,4,Hayır,Kat İrtifaklı Tapu,Hayır,1,2.EL,,
https://www.remax.com.tr/portfoy/P74478387,2025-05-08,16.000,Bursa / Osmangazi/ Aktarhüssam Mah.,Daire,110,90,2+1,5,Doğalgaz (Kombi),"15,0 m²","27,0 m²","14,0 m²",,5627,200,Var,1,21-25,18.000,Evet,Evet,5,,Boş,40.18890708006463,29.060006053372973,5,Hayır,Kat İrtifaklı Tapu,Hayır,1,2.EL,,
https://www.remax.com.tr/portfoy/P40756417,2025-05-08,26.000,Bursa / Nilüfer/ Beşevler Mah.,Daire,159,125,3+1,1,Doğalgaz (Kombi),,,,,548,,Var,1,16-20,,Hayır,Hayır,5,,Boş,40.2094666,28.9690269,1,Evet,Kat Mülkiyetli Tapu,Hayır,2,2.EL,,
https://www.remax.com.tr/portfoy/P38568662,2025-05-08,23.000,Bursa / Nilüfer/ 30 Ağustos Zafer Mah.,Daire,132,115,3+1,3,Doğalgaz (Kombi),,,,,6266,3.200,Var,2,5,,Hayır,Hayır,5,,Boş,40.1987614,28.8423072,6,Evet,Kat Mülkiyetli Tapu,Hayır,2,2.EL,,
https://www.remax.com.tr/portfoy/P50186761,2025-05-08,****,Bursa / Nilüfer/ Kızılcıklı Mah.,Daire,130,120,3+1,6,Doğalgaz (Kombi),,,,,180,,Var,2,3,,Hayır,Evet,9,,Boş,40.192253183049,28.80772050238,4,Evet,Kat Mülkiyetli Tapu,Hayır,3,2.EL,,
https://www.remax.com.tr/portfoy/P81708520,2025-05-08,27.500,Bursa / Nilüfer/ Ertuğrul Mah.,Daire,170,120,3+1,1,Doğalgaz (Kombi),"0,0 m²","0,0 m²","0,0 m²","0,0 m²",996,1.350,Var,2,10-15,30.000,Hayır,Hayır,3,,Boş,40.217348,28.9178361,5,Evet,Kat İrtifaklı Tapu,Hayır,2,2.EL,,
https://www.remax.com.tr/portfoy/P37045838,2025-05-08,24.000,Bursa / Osmangazi/ Yunuseli Mah.,Daire,120,90,3+1,Bahçe Katı,Doğalgaz (Kombi),,,,,,,Yok,2,7,,Hayır,Hayır,1,,Boş,40.249115891354,29.001476477155,,Hayır,Kat İrtifaklı Tapu,Hayır,,2.EL,,
https://www.remax.com.tr/portfoy/P10436503,2025-05-08,25.500,Bursa / Nilüfer/ İrfaniye Mah.,Daire,162,135,3+1,3,Merkezi,,,,,131,1.200,Var,2,0,25.500,Hayır,,5,,Boş,40.237610710894,28.816796558197,2,Hayır,Kat Mülkiyetli Tapu,Hayır,2,Sıfır,,
https://www.remax.com.tr/portfoy/P33214246,2025-05-08,****,Bursa / Osmangazi/ Doğanbey Mah.,Daire,115,100,2+1,3,Doğalgaz (Kombi),,,,,7290,850,Var,1,16-20,23.000,Hayır,Hayır,22,,Boş,40.1902495,29.0614271,20,,Kat Mülkiyetli Tapu,Hayır,1,2.EL,,
