Link,Fiyat,Konum,İlan no,Son Güncelleme,İlan Durumu,Konut Tipi,Konut Şekli,Oda Sayısı,Banyo Sayısı,Brüt Metrekare,Net Metrekare,Kat Sayısı,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Yakıt Tipi,Tapu Durumu,Eşya Durumu,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Site İçerisinde,Cephe,Depozito,Aidat,Yetkili Ofis
https://www.hepsiemlak.com/bursa-mudanya-halitpasa-kiralik/daire/94746-2668,20.000 TL,Bursa Mudanya Halitpaşa Mah.,94746-2668,03-05-2025,Kiralık,Daire,Daire,2 + 1,1,902 m2,852 m2,4 Katlı,4. Kat,30 Yaşında,Isıtma Yok,Elektrik,Kat İrtifakı,Eşyalı,Betonarme,İkinci El,Boş,,"Kuzey, Güney, Doğu, Batı",,,Evet
https://www.hepsiemlak.com/bursa-mudanya-guzelyali-burgaz-kiralik/daire/157914-6,17.500 TL,Bursa Mudanya Güzelyalı Burgaz Mah.,157914-6,22-05-2025,Kiralık,Daire,Daire,3 + 1,1,1652 m2,1502 m2,5 Katlı,Ara Kat,15 Yaşında,Kombi,Doğalgaz,Kat İrtifakı,Eşyalı Değil,Betonarme,İkinci El,Boş,Evet,"Güney, Doğu, Batı",17.500 TL,250 TL,Evet
https://www.hepsiemlak.com/bursa-gemlik-esref-dincer-kiralik/daire/135581-380,25.000 TL,Bursa Gemlik Eşref Dinçer Mah.,135581-380,05-04-2025,Kiralık,Daire,Daire,4 + 1,2,1502 m2,1452 m2,3 Katlı,2. Kat,5 Yaşında,Kombi,Doğalgaz,Kat İrtifakı,Eşyalı Değil,Betonarme,Sıfır,Boş,,"Kuzey, Güney",25.000 TL,,Evet
https://www.hepsiemlak.com/bursa-yildirim-yesil-kiralik/daire/46130-1109,13.000 TL,Bursa Yıldırım Yeşil Mah.,46130-1109,14-05-2025,Kiralık,Daire,Daire,2 + 1,1,1402 m2,1202 m2,5 Katlı,2. Kat,30 Yaşında,Kombi,Doğalgaz,Kat İrtifakı,Eşyalı Değil,Betonarme,İkinci El,Boş,,"Doğu, Batı",13.000 TL,,Evet
https://www.hepsiemlak.com/bursa-nilufer-dumlupinar-kiralik/daire/144428-107,14.500 TL,Bursa Nilüfer Dumlupınar Mah.,144428-107,19-05-2025,Kiralık,Daire,Daire,2 + 1,1,652 m2,502 m2,6 Katlı,3. Kat,4 Yaşında,Kombi,Doğalgaz,Kat Mülkiyeti,Eşyalı,Betonarme,İkinci El,Boş,Ekin Prestij Sitesi,Batı,14.500 TL,850 TL,Evet
https://www.hepsiemlak.com/bursa-orhangazi-arapzade-kiralik/daire/102130-793,14.500 TL,Bursa Orhangazi Arapzade Mah.,102130-793,11-04-2025,Kiralık,Daire,,2 + 1,1,902 m2,852 m2,5 Katlı,5. Kat,30 Yaşında,Kombi,,Tapu Yok,,,,,,,,,
https://www.hepsiemlak.com/bursa-nilufer-cumhuriyet-kiralik/daire/19374-1916,24.000 TL,Bursa Nilüfer Cumhuriyet Mah.,19374-1916,12-05-2025,Kiralık,Daire,Daire,3 + 1,1,1402 m2,1202 m2,5 Katlı,3. Kat,27 Yaşında,Kombi,Doğalgaz,Kat Mülkiyeti,,Betonarme,İkinci El,Boş,Gür Sitesi,"Güney, Doğu",27.000 TL,500 TL,Evet
https://www.hepsiemlak.com/bursa-nilufer-gorukle-kiralik/daire/94175-1249,13.500 TL,Bursa Nilüfer Görükle Mah.,94175-1249,16-04-2025,Kiralık,Daire,Daire,1 + 1,1,552 m2,402 m2,4 Katlı,3. Kat,13 Yaşında,Kombi,Doğalgaz,Kat Mülkiyeti,Eşyalı,Betonarme,İkinci El,Boş,Evet,"Kuzey, Güney, Doğu, Batı",,,Evet
https://www.hepsiemlak.com/bursa-yildirim-davutdede-kiralik/daire/156515-10,10.000 TL,Bursa Yıldırım Davutdede Mah.,156515-10,09-04-2025,Kiralık,Daire,Daire,1 + 1,1,252 m2,202 m2,4 Katlı,1. Kat,20 Yaşında,Kombi,Doğalgaz,Kat Mülkiyeti,Eşyalı,Betonarme,İkinci El,Boş,,Kuzey,10.000 TL,,Evet
https://www.hepsiemlak.com/bursa-orhangazi-camiikebir-kiralik/daire/146230-141,20.000 TL,Bursa Orhangazi Camiikebir Mah.,146230-141,20-05-2025,Kiralık,Daire,Daire,3 + 1,1,1302 m2,1182 m2,5 Katlı,3. Kat,30 Yaşında,Kombi,Doğalgaz,Arsa,Eşyalı Değil,Betonarme,İkinci El,Boş,,Doğu,20.000 TL,250 TL,Evet
